Column1,column ID,ID,Age,Customer_type,Gross_income,Net_income,Valid,SEX,Type_of_industry,Marital_Status,Months_in_city,Months_in_current_job,Org_Type,Debt_ratio,Target,ENQ_1,ENQ_2,ENQ_3,ENQ_4,ENQ_5,ENQ_6,ENQ_7,ENQ_8,ACCOUNT_9,ACCOUNT_10,ACCOUNT_11,ACCOUNT_12,ACCOUNT_13,ACCOUNT_14,ACCOUNT_15,ACCOUNT_16,ACCOUNT_17,ACCOUNT_18,ACCOUNT_19,ACCOUNT_20,ACCOUNT_21,bank_balance
16,21,709,41,SALARIED,133076,133076,1,MALE,OTHERS,MARRIED,0,0,INDIVIDUAL,0.63,0,1171,3274,0,0,0,0,26,3,0,0,1169,11,2,8,2,0,2,214449,183962,30487,4230,275436
17,22,3276,38,SELF EMPLOYED,45493.08,45493.08,1,MALE,OTHERS,MARRIED,0,51,INDIVIDUAL,1.43,0,0,0,4,4,4,4,7,4,0,1,1446,6,0,5,1,0,1,12068,0,12068,4162,119057
18,23,2544,50,SALARIED,200000,200000,1,MALE,OTHERS,MARRIED,360,0,INDIVIDUAL,0.01,0,3686,4208,0,0,0,0,2,1,0,0,2025,2,1,0,1,1,0,168149,168149,0,4078,1998
19,24,3494,56,SELF EMPLOYED,1368570.25,1368570.25,1,MALE,OTHERS,MARRIED,0,24,INDIVIDUAL,0.13,0,10,10,7,3,29,13,59,19,0,7,1815,12,1,7,2,0,0,1065,1346,0,4057,326535
20,25,807,46,SELF EMPLOYED,52833.33,52833.33,1,MALE,OTHERS,MARRIED,240,15,INDIVIDUAL,0.64,0,8,8,7,4,9,5,9,5,5,5,4056,2,0,0,1,0,0,501,501,0,4056,8586
21,28,2123,29,SELF EMPLOYED,475755.92,475755.92,1,MALE,AUTOMOTIVE,SINGLE,144,67,PROPRIETORSHIP,0.25,1,23,31,6,1,12,2,46,3,7,7,808,23,1,3,1,0,1,172798,0,172798,4022,170096.472
22,29,91,24,SALARIED,24000,24000,1,MALE,OTHERS,SINGLE,240,0,INDIVIDUAL,0.63,0,13,33,2,1,5,4,43,17,6,6,3608,15,2,13,1,0,1,131201,0,131201,4020,110784
23,30,3869,24,SALARIED,24000,24000,1,MALE,OTHERS,SINGLE,240,0,INDIVIDUAL,0.63,0,13,33,2,1,5,4,43,17,6,6,3608,15,2,13,1,0,1,131201,0,131201,4020,110784
24,31,1691,51,SELF EMPLOYED,41666.67,41666.67,1,FEMALE,OTHERS,MARRIED,0,36,INDIVIDUAL,0.25,0,597,597,0,0,0,0,6,1,0,0,2233,3,0,3,1,0,1,0,0,0,3921,131459
25,32,3099,41,SELF EMPLOYED,84424.25,84424.25,1,MALE,OTHERS,SEPARATED,480,1,INDIVIDUAL,0.72,0,31,31,2,1,4,2,4,2,6,6,3890,2,0,2,1,0,1,89732,0,89732,3890,64421
26,33,3018,54,SALARIED,64391,64391,1,FEMALE,OTHERS,MARRIED,0,64,GOVT (ONLY FOR SALARIED),0.65,0,4,23,4,2,4,2,6,2,5,5,825,3,0,3,1,0,1,2706,0,2706,3888,43907
27,34,2096,39,SELF EMPLOYED,42026.25,42026.25,1,MALE,OTHERS,MARRIED,0,187,INDIVIDUAL,0.65,1,127,0,0,0,1,0,9,0,0,0,1258,5,0,5,1,0,1,0,0,0,3879,17305
28,38,2943,47,SELF EMPLOYED,32726.83,32726.83,1,MALE,OTHERS,MARRIED,0,187,INDIVIDUAL,0.46,0,0,0,0,0,0,0,0,0,0,0,3809,1,1,0,1,1,0,42548,42548,0,3809,7030
29,39,2599,43,SALARIED,50000,50000,1,MALE,OTHERS,MARRIED,60,0,INDIVIDUAL,0.5,0,11,27,2,1,2,1,27,4,6,6,832,13,1,11,2,1,1,261455,220011,41444,3802,170096.472
30,40,790,47,SELF EMPLOYED,26510,26510,1,MALE,OTHERS,MARRIED,0,1,INDIVIDUAL,0.06,0,4492,0,0,0,0,0,1,0,0,0,3595,4,2,2,1,1,0,298446,298446,0,3785,2579
31,41,605,42,SELF EMPLOYED,42600,42600,1,FEMALE,OTHERS,MARRIED,480,192,INDIVIDUAL,0.62,0,421,0,0,0,0,0,7,0,6,6,669,2,0,1,1,0,0,18280,18280,0,3783,136056
32,42,3632,47,SELF EMPLOYED,48450,48450,1,FEMALE,OTHERS,MARRIED,180,176,INDIVIDUAL,0.42,0,51,51,1,1,1,1,1,1,0,0,3718,1,1,0,1,1,0,29281,29281,0,3718,19993
33,43,2903,43,SALARIED,32774,29087,1,MALE,OTHERS,SINGLE,240,0,PRIVATE LIMITED,0.54,0,1567,0,0,0,0,0,3,0,0,0,2995,2,0,2,1,0,1,0,0,0,3670,23961
34,48,3252,48,SELF EMPLOYED,401003,401003,1,FEMALE,OTHERS,MARRIED,180,128,INDIVIDUAL,0.05,0,0,0,0,0,0,0,0,0,0,0,1224,2,0,1,1,0,1,87656,0,87656,3466,66078
35,50,1751,28,SALARIED,15000,15000,1,MALE,OTHERS,MARRIED,337,19,INDIVIDUAL,0.36,0,27,27,1,1,1,1,9,7,0,0,2107,6,4,1,1,1,0,540,540,0,3430,40514
36,51,941,30,SALARIED,22500,20000,1,FEMALE,OTHERS,MARRIED,120,0,INDIVIDUAL,0.55,0,15,2460,2,0,2,0,5,2,0,0,2155,7,1,5,2,1,1,6051,0,6051,3429,1616
37,53,336,38,SALARIED,300000,24000,1,MALE,OTHERS,MARRIED,300,60,INDIVIDUAL,0.5,0,38,3409,1,0,1,0,6,2,0,0,2456,2,1,0,1,1,0,46038,46038,0,3384,67108
38,54,1210,48,SELF EMPLOYED,217666.67,217666.67,1,MALE,OTHERS,MARRIED,0,360,INDIVIDUAL,0.41,0,39,39,2,2,2,2,53,12,0,0,2180,24,2,12,1,1,0,1007143,1007143,0,3381,41410
39,55,3370,30,SALARIED,21500,21500,1,MALE,OTHERS,MARRIED,0,60,INDIVIDUAL,0.48,0,6,34,10,4,11,4,11,4,0,4,3369,1,0,1,1,0,1,82700,0,82700,3369,2052
40,56,2103,38,SALARIED,31850,31850,1,FEMALE,IT AND COMMUNICATION,MARRIED,0,48,INDIVIDUAL,0.51,0,5,5,3,2,10,8,28,9,0,0,569,28,0,25,5,0,5,277241,0,277241,3360,47548
41,57,2845,47,SALARIED,106422,106422,1,MALE,ELECTRICAL MACHINERY,MARRIED,360,0,PRIVATE LIMITED,0.46,0,7,7,2,2,3,2,6,3,2,2,304,12,2,8,3,2,1,218320,218320,0,3332,262636
42,59,3179,46,SELF EMPLOYED,52687.33,52687.33,1,MALE,OTHERS,MARRIED,540,27,INDIVIDUAL,1.09,0,10,10,2,1,4,2,5,2,7,7,1686,4,0,4,1,0,1,413218,0,413218,3272,14478
43,60,2820,54,SALARIED,1000000,103704,1,MALE,GOVERNMENT,MARRIED,480,240,INDIVIDUAL,0.71,0,9,9,6,4,8,4,25,4,3,3,562,16,3,8,5,3,1,1360180,898408,461772,3257,7078
44,62,1076,36,SELF EMPLOYED,41680.08,41680.08,1,MALE,OTHERS,MARRIED,120,20,INDIVIDUAL,1.24,0,1,0,2,0,6,0,27,0,6,6,3166,4,0,3,1,0,1,24991,4945,20046,3250,108935
45,63,2085,44,SELF EMPLOYED,28620.92,28620.92,1,MALE,OTHERS,MARRIED,516,40,PROPRIETORSHIP,0.47,0,44,331,1,0,4,1,49,1,6,6,580,10,0,10,1,0,1,166906,0,166906,3216,170096.472
46,64,2836,52,SALARIED,70000,62173,1,MALE,GOVERNMENT,MARRIED,360,264,INDIVIDUAL,0.45,0,2,2,2,2,2,2,8,2,7,7,347,16,0,15,6,0,6,185820,0,185820,3206,31146
47,65,684,45,SALARIED,166960,138815,1,MALE,OTHERS,MARRIED,360,180,INDIVIDUAL,0.51,0,5,5,2,2,2,2,6,5,0,0,375,5,1,4,3,1,2,604199,0,604199,3205,858102
48,66,1236,46,SELF EMPLOYED,54027.67,54027.67,1,MALE,OTHERS,MARRIED,180,77,PROPRIETORSHIP,0.96,0,21,21,2,2,4,3,12,3,0,0,2189,5,1,3,1,1,0,251557,251557,0,3192,88323
49,67,891,40,SELF EMPLOYED,58333.33,58333.33,1,MALE,OTHERS,MARRIED,180,10,INDIVIDUAL,0,0,4,405,1,0,1,0,21,8,6,6,322,23,1,9,4,1,2,1808458,1434790,373668,3135,73778
50,68,3592,49,SELF EMPLOYED,121827.75,121827.75,1,MALE,OTHERS,MARRIED,0,0,PROPRIETORSHIP,0.65,0,142,142,0,0,1,1,5,2,6,6,987,2,0,1,2,0,1,305482,164142,141340,3131,219419
51,69,2174,36,SELF EMPLOYED,293999,293999,1,MALE,OTHERS,MARRIED,36,108,PARTNERSHIP,0.18,0,1,7,14,8,20,9,39,11,6,6,30,11,1,8,4,1,3,2579585,2500000,79585,3105,170096.472
52,72,3599,38,SELF EMPLOYED,73050.33,73050.33,1,MALE,OTHERS,MARRIED,0,0,INDIVIDUAL,1.64,0,11,11,2,1,6,1,33,2,6,6,117,12,0,10,5,0,4,931831,802536,129295,3071,167860
53,76,1810,38,SELF EMPLOYED,20833.33,20833.33,1,MALE,OTHERS,MARRIED,240,72,INDIVIDUAL,0.29,0,16,16,2,1,3,1,19,4,0,0,497,8,1,5,2,1,1,606186,606186,0,2917,24690
54,79,5,40,SELF EMPLOYED,27305.42,27305.42,1,MALE,OTHERS,MARRIED,0,206,PROPRIETORSHIP,0.55,0,2,342,2,0,4,1,7,1,6,6,2838,2,0,2,1,0,1,46848,0,46848,2838,163025
55,83,1635,42,SALARIED,1000000,91897,1,MALE,OTHERS,MARRIED,0,0,INDIVIDUAL,0.09,0,2803,2803,0,0,0,0,1,1,0,0,2798,1,1,0,1,1,0,714073,714073,0,2798,32892
56,85,1154,42,SELF EMPLOYED,63291.5,63291.5,1,MALE,OTHERS,MARRIED,0,54,INDIVIDUAL,0.9,0,5,5,1,1,1,1,11,1,6,6,188,10,1,7,3,0,2,752893,689290,63603,2768,126235
57,86,964,26,SALARIED,500000,48688,1,MALE,OTHERS,SINGLE,0,36,INDIVIDUAL,0.36,0,485,0,0,0,0,0,1,0,0,0,463,3,2,1,2,1,1,103777,97571,6206,2764,8670
58,88,86,38,SELF EMPLOYED,37443.33,37443.33,1,FEMALE,OTHERS,MARRIED,240,120,INDIVIDUAL,0.67,0,69,0,1,0,1,0,2,0,0,0,2717,1,0,0,1,0,0,0,0,0,2717,170096.472
59,89,3864,38,SELF EMPLOYED,37443.33,37443.33,1,FEMALE,OTHERS,MARRIED,240,120,INDIVIDUAL,0.67,0,69,0,1,0,1,0,2,0,0,0,2717,1,0,0,1,0,0,0,0,0,2717,170096.472
60,90,1112,49,SELF EMPLOYED,83.33,83.33,1,MALE,METALS,MARRIED,0,253,INDIVIDUAL,414.62,0,8,8,2,1,6,1,46,8,1,1,143,22,1,20,12,1,10,1439721,1270351,169370,2714,62057
61,91,3466,35,SELF EMPLOYED,60748.33,60748.33,1,MALE,OTHERS,MARRIED,0,30,INDIVIDUAL,0.59,0,109,109,0,0,2,1,19,3,0,0,1405,13,1,10,2,1,1,1009,0,1009,2704,29993
62,92,1327,50,SELF EMPLOYED,36309.17,36309.17,1,MALE,OTHERS,MARRIED,180,111,INDIVIDUAL,0.4,0,2726,2726,0,0,0,0,1,1,0,0,1853,2,1,0,1,1,0,1309134,1309134,0,2702,12558
63,96,3157,51,SALARIED,20000,20000,1,MALE,INSTITUTIONS AND TRUST,MARRIED,276,24,INDIVIDUAL,0.5,0,729,0,0,0,0,0,3,0,0,1,729,4,0,3,2,0,2,20604,0,20604,2634,10574
64,97,3095,32,SELF EMPLOYED,91666.67,91666.67,1,MALE,OTHERS,MARRIED,384,0,INDIVIDUAL,2.13,0,29,29,2,2,2,2,13,2,0,0,797,11,0,9,3,0,2,80130,0,80130,2632,293264
65,101,131,48,SELF EMPLOYED,29619.83,29619.83,1,MALE,AUTOMOTIVE,MARRIED,552,120,PROPRIETORSHIP,0.19,0,56,56,1,1,1,1,4,3,0,0,1189,2,1,0,1,1,0,453753,453753,0,2609,16454
66,102,2204,39,SELF EMPLOYED,8333.33,8333.33,1,MALE,AUTOMOTIVE,MARRIED,468,120,INDIVIDUAL,5.59,0,3,3,6,4,6,4,68,10,6,6,28,55,1,32,12,0,9,864457,224151,640306,2609,170096.472
67,104,1077,38,SELF EMPLOYED,41997.92,41997.92,1,FEMALE,OTHERS,MARRIED,180,199,INDIVIDUAL,2.01,0,7,89,2,1,3,2,26,6,6,6,47,28,2,23,9,1,8,2736988,2494592,242396,2602,275553
68,105,1474,40,SALARIED,34412,24597,1,MALE,OTHERS,MARRIED,480,0,INDIVIDUAL,0.17,0,39,39,1,1,3,1,5,3,0,7,2566,2,1,1,1,1,0,427890,427890,0,2566,9175
69,106,1723,41,SELF EMPLOYED,24905.5,24905.5,1,MALE,OTHERS,MARRIED,300,108,INDIVIDUAL,0.15,0,32,32,2,2,2,2,3,3,0,0,2554,1,1,0,1,1,0,363279,363279,0,2554,45462
70,107,2503,33,SELF EMPLOYED,50000,50000,1,MALE,CONSTRUCTION,MARRIED,396,144,INDIVIDUAL,1.1,0,3,4,5,3,10,7,53,19,0,1,168,13,0,8,4,0,4,19144,0,19144,2546,92495
71,109,3,36,SELF EMPLOYED,188183.33,188183.33,1,MALE,OTHERS,MARRIED,0,0,PROPRIETORSHIP,0.44,0,5,5,7,6,13,8,50,11,6,6,87,30,2,21,8,1,7,3445241,1536325,1908916,2534,170096.472
72,110,2487,34,SALARIED,19500,19500,1,MALE,OTHERS,MARRIED,396,36,INDIVIDUAL,0.46,0,25,25,1,1,1,1,1,1,0,0,2533,1,0,1,1,0,1,79992,0,79992,2533,4749
73,111,3564,40,SELF EMPLOYED,21750,21750,1,MALE,OTHERS,MARRIED,0,0,INDIVIDUAL,3.14,0,81,116,1,0,2,1,11,1,6,6,955,7,0,5,2,0,1,27731,11316,16415,2519,136566
74,113,701,45,SALARIED,159877,144877,1,MALE,OTHERS,MARRIED,0,36,INDIVIDUAL,0.59,0,10,10,1,1,1,1,7,3,0,0,2513,11,1,9,1,1,0,1238625,1238672,0,2513,184975
75,115,3476,49,SELF EMPLOYED,49709.92,49709.92,1,FEMALE,OTHERS,MARRIED,0,120,PROPRIETORSHIP,0.81,0,98,98,0,0,2,1,6,1,0,0,154,8,1,7,3,1,2,6618,2,6616,2492,272021
76,116,3330,43,SELF EMPLOYED,51812.5,51812.5,1,MALE,OTHERS,MARRIED,240,20,INDIVIDUAL,0.64,0,549,549,0,0,0,0,6,2,0,0,542,6,2,2,2,2,0,1590357,1590357,0,2484,80154
77,120,120,37,SALARIED,241154,13250,1,FEMALE,OTHERS,MARRIED,420,168,INDIVIDUAL,0.13,0,738,738,0,0,0,0,3,3,0,0,665,2,2,0,2,2,0,335995,335995,0,2442,4669
78,121,1320,63,SALARIED,106441,106441,1,MALE,OTHERS,MARRIED,72,60,INDIVIDUAL,0.48,0,752,3302,0,0,0,0,10,2,0,0,533,14,1,7,3,1,1,29401,17479,11922,2441,45744
79,122,1780,50,SELF EMPLOYED,927476.83,927476.83,1,MALE,OTHERS,MARRIED,600,115,INDIVIDUAL,0.19,0,5,5,4,3,12,9,115,58,0,1,130,59,24,23,10,3,7,8408893,7671968,736925,2437,967287
80,123,3185,40,SELF EMPLOYED,30170.67,30170.67,1,FEMALE,OTHERS,MARRIED,240,24,INDIVIDUAL,1.93,0,13,13,1,1,3,3,10,5,0,1,953,5,1,3,2,1,1,1377793,1377796,0,2429,542200
81,124,2815,45,SALARIED,41792,41792,1,MALE,GOVERNMENT,MARRIED,12,192,GOVT (ONLY FOR SALARIED),0.6,0,14,14,1,1,1,1,2,2,0,0,2426,1,1,0,1,1,0,526688,526688,0,2426,8399
82,125,2917,40,SALARIED,167475,101174,1,MALE,OTHERS,MARRIED,0,0,PRIVATE LIMITED,0.44,0,46,46,3,3,5,4,23,4,0,0,263,10,1,9,4,1,3,3927331,3911906,15425,2403,53319
83,127,2030,52,NON EARNING,25000,24278,1,MALE,CONSUMER ELECTRONICS,MARRIED,600,36,INDIVIDUAL,0.25,0,0,0,0,0,0,0,0,0,0,0,2396,1,0,1,1,0,1,160034,0,160034,2396,170096.472
84,128,1914,23,SELF EMPLOYED,33333.33,33333.33,1,MALE,OTHERS,SINGLE,264,48,INDIVIDUAL,0.1,0,654,654,0,0,0,0,2,1,0,0,2372,1,0,1,1,0,1,0,0,0,2372,1351
85,129,1092,47,SELF EMPLOYED,32979.75,32979.75,1,MALE,OTHERS,MARRIED,300,43,INDIVIDUAL,3.96,0,10,101,1,0,5,3,18,10,6,6,1372,9,4,5,4,1,3,12456397,12250346,206051,2370,395757
86,130,312,33,SELF EMPLOYED,50408.33,50408.33,1,MALE,OTHERS,MARRIED,180,48,INDIVIDUAL,0,0,41,41,2,2,2,2,8,2,0,0,478,4,0,2,1,0,1,0,0,0,2365,9859
87,132,1013,43,SALARIED,23989,23989,1,MALE,EDUCATION,MARRIED,0,192,GOVT (ONLY FOR SALARIED),0.42,0,42,0,2,0,7,0,9,0,6,6,517,2,0,1,2,0,1,161789,18853,142936,2354,2457
88,133,2707,39,SELF EMPLOYED,28797.17,28797.17,1,FEMALE,OTHERS,MARRIED,120,83,INDIVIDUAL,0.5,0,121,121,0,0,1,1,3,1,0,0,2138,3,0,1,1,0,1,0,0,0,2349,2019
89,134,1457,34,SALARIED,25623,25623,1,MALE,OTHERS,MARRIED,48,0,INDIVIDUAL,0.5,0,45,50,2,1,3,1,7,1,0,0,304,19,0,7,3,0,3,981,0,981,2318,6318
90,141,267,29,SALARIED,20000,20000,1,MALE,OTHERS,MARRIED,120,0,INDIVIDUAL,0.49,0,0,0,0,0,0,0,0,0,0,0,2276,1,1,0,1,1,0,493293,493293,0,2276,170096.472
91,142,3469,37,SELF EMPLOYED,9835416.67,9835416.67,1,MALE,CONTAINERS AND PACKING,MARRIED,0,180,INDIVIDUAL,0.15,0,0,0,6,3,26,11,158,47,0,0,167,109,7,4,64,5,1,182573319,181108263,1465056,2271,46674874
92,143,1088,38,SELF EMPLOYED,24628.33,24628.33,1,MALE,OTHERS,MARRIED,180,77,PROPRIETORSHIP,6.5,0,0,842,1,0,1,0,3,2,0,0,2269,1,1,0,1,1,0,0,0,0,2269,548691
93,144,2893,50,SELF EMPLOYED,539460,539460,1,MALE,OTHERS,MARRIED,360,141,PROPRIETORSHIP,0.4,0,564,564,0,0,0,0,11,11,0,0,2258,4,4,0,1,1,0,0,0,0,2258,6235084
94,145,1305,40,SELF EMPLOYED,38648.42,38648.42,1,MALE,OTHERS,MARRIED,180,58,INDIVIDUAL,0.48,0,4,3472,1,0,2,0,6,1,0,0,146,7,1,6,2,0,2,31035,0,31035,2250,21769
95,146,1790,43,SELF EMPLOYED,42821.33,42821.33,1,MALE,OTHERS,MARRIED,516,138,INDIVIDUAL,0.97,0,3,9,5,2,5,2,56,17,0,0,576,11,0,9,2,0,2,1288098,153371,1134727,2245,93605
96,147,1064,46,SELF EMPLOYED,42894.83,42894.83,1,MALE,OTHERS,MARRIED,0,136,PROPRIETORSHIP,0.49,0,6,6,3,2,4,2,20,2,2,7,333,15,0,11,3,0,2,229328,229329,0,2238,321564
97,149,1252,40,SALARIED,42200,42200,1,MALE,OTHERS,MARRIED,0,48,INDIVIDUAL,0.27,0,4,0,1,0,1,0,10,0,0,0,873,6,0,4,3,0,3,0,0,0,2197,72286
98,150,1370,40,SELF EMPLOYED,30451.33,30451.33,1,MALE,OTHERS,MARRIED,360,0,PROPRIETORSHIP,0.44,1,556,0,0,0,0,0,5,0,0,0,1060,2,0,0,2,0,0,2400,2400,0,2194,2084
99,152,3427,33,SELF EMPLOYED,53902.67,53902.67,1,MALE,OTHERS,MARRIED,300,29,PROPRIETORSHIP,0.34,0,6,1235,1,0,7,0,19,1,0,2,454,6,1,2,3,1,1,2176828,814065,1362763,2182,38173
100,154,2232,39,SALARIED,50000,42667,1,MALE,OTHERS,MARRIED,420,120,INDIVIDUAL,0.19,0,11,866,3,0,7,0,23,1,0,6,72,18,0,5,4,0,1,58392,58392,0,2173,170096.472
101,156,1909,42,SELF EMPLOYED,41666.67,41666.67,1,MALE,OTHERS,MARRIED,505,120,INDIVIDUAL,0.39,0,791,791,0,0,0,0,3,2,0,0,781,2,2,0,2,2,0,1552256,1552256,0,2144,57817
102,159,3180,42,SALARIED,385000,48303,1,MALE,INSTITUTIONS AND TRUST,MARRIED,180,60,INDIVIDUAL,0.6,0,3,3,2,1,3,2,18,2,6,6,258,13,0,9,5,0,3,215665,93338,122327,2113,12042
103,161,223,38,SALARIED,28500,28500,1,MALE,OTHERS,MARRIED,0,0,INDIVIDUAL,0.2,0,1,36,6,1,6,1,13,4,0,6,1103,3,1,2,2,1,1,422129,420929,1200,2101,170096.472
104,162,2180,50,SELF EMPLOYED,37500,37500,1,MALE,OTHERS,MARRIED,36,12,INDIVIDUAL,0.58,0,8,8,2,1,5,4,17,4,6,6,817,14,0,9,3,0,2,149850,112830,37020,2098,170096.472
105,163,2965,33,SALARIED,39395,39395,1,MALE,OTHERS,MARRIED,0,0,INDIVIDUAL,0.55,0,240,240,0,0,3,3,13,3,0,0,379,8,0,8,2,0,2,80225,0,80225,2098,6165
106,164,3027,38,SALARIED,42500,40000,1,MALE,OTHERS,MARRIED,120,12,INDIVIDUAL,0.55,0,17,0,2,0,3,0,25,0,0,0,1609,4,0,3,1,0,1,48532,48532,0,2094,14822
107,166,514,42,SALARIED,16000,15000,1,MALE,OTHERS,MARRIED,36,36,INDIVIDUAL,0.48,0,0,0,0,0,0,0,0,0,0,0,2087,1,1,0,1,1,0,430440,430440,0,2087,11974
108,167,1791,38,SELF EMPLOYED,27775,27775,1,MALE,OTHERS,MARRIED,0,60,INDIVIDUAL,0.52,0,1693,0,0,0,0,0,3,0,0,3,2085,1,0,0,1,0,0,38420,38420,0,2085,10221
109,168,3142,51,SALARIED,81232,81232,1,MALE,OTHERS,MARRIED,240,60,INDIVIDUAL,0.45,0,2,2,3,2,7,4,17,5,3,3,426,14,2,11,4,1,2,2006178,1531507,474671,2084,29350
110,170,427,56,SELF EMPLOYED,97696,97696,1,MALE,OTHERS,MARRIED,120,180,INDIVIDUAL,0.04,0,0,0,2,2,2,2,3,2,0,0,1429,2,1,1,1,1,0,292525,292525,0,2056,170096.472
111,171,1212,58,SELF EMPLOYED,55105.58,55105.58,1,MALE,OTHERS,MARRIED,0,692,INDIVIDUAL,0.75,0,2030,2030,0,0,0,0,10,1,0,0,2027,8,1,4,1,0,1,42481,0,42481,2054,661267
112,172,3696,34,SALARIED,22207,22207,1,FEMALE,OTHERS,MARRIED,84,0,GOVT (ONLY FOR SALARIED),0,0,32,32,3,2,3,2,18,2,0,0,1319,6,0,3,3,0,2,0,0,0,2052,123488
113,173,3774,34,SALARIED,22207,22207,1,FEMALE,OTHERS,MARRIED,84,0,GOVT (ONLY FOR SALARIED),0,0,32,32,3,2,3,2,18,2,0,0,1319,6,0,3,3,0,2,0,0,0,2052,123488
114,174,1599,51,SALARIED,650000,63755,1,FEMALE,OTHERS,MARRIED,612,384,INDIVIDUAL,0.36,0,150,1300,0,0,2,0,15,3,0,6,670,25,2,17,3,1,1,2086571,2086571,0,2051,44015
115,175,716,31,SALARIED,18525,18525,1,FEMALE,OTHERS,MARRIED,96,84,INDIVIDUAL,0.52,0,2063,0,0,0,0,0,1,0,0,0,2045,2,0,2,1,0,1,0,0,0,2045,21064
116,176,3488,33,SELF EMPLOYED,70272.25,70272.25,1,MALE,OTHERS,MARRIED,0,36,INDIVIDUAL,2.84,0,28,28,1,1,1,1,2,1,0,0,2040,3,0,3,1,0,1,20266,0,20266,2040,973538
117,177,1225,38,SELF EMPLOYED,38242.42,38242.42,1,MALE,OTHERS,MARRIED,0,184,PROPRIETORSHIP,1.13,0,21,21,2,2,2,2,4,4,0,0,2038,1,1,0,1,1,0,926004,926004,0,2038,574412
